Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
"Akayra, fuego eterno",1,I,,Demonio,,Caos,,0,,Damián Graff,"Cuando Akayra haga 5 o mas puntos de daño en un turno, voltea Akayra / Siempre que juegues un ritual, Akayra obtiene +1 hasta el final del turno","""¿Crees que un simple rasguño puede detenerme? ¡Yo soy la hija del fuego!"""
"Rasap, forjador de victorias",2,I,,Demonio,,Caos,,0,,Luciano Comizzo,{0}: Voltea Rasap. Juega esta habilidad solo si controlas 3 o + armas / No puedes jugar aliados. Te cuesta 1 menos equipar las armas,"""La gloria volverá a ser mía. Esta vez para siempre."""
"Syv, señor del desierto",3,I,,Demonio,,Caos,,1,,Rodolfo Buscaglia / Franco Riesco,Cuando haya 7 o mas aliados en juego voltea Syv ,"""Laz arenahz hemoz de ezpandir. ¡El Mundo zherá nuestro!"""
"Baggrund, especuladora frenética",4,I,,Demonio,,Locura,,0,,Paulo Barrios / Juan Martinez Pinilla,Descarta tu mano: Voltea Baggrund / Descarta una carta de tu mano: Baggrund obtiene +1 FUE hasta el final del turno,"""No necesito opciones, yo moldeo mi futuro"""
"Mimere, coleccionapensamientos",5,I,,Demonio,,Locura,,1,,Lizzo,"Cuando tengas 9 o mas cartas en tu mano, voltea Mimere","""Cada pensamiento, cada idea, me acerca mas a la perfección."""
"Viden, el traicionado",6,I,,Demonio,,Locura,,99,,Luciano Comizzo,"Cuando tengas 0 cartas en tu mazo, voltea Viden","""¿Que clase de engaño es este? ¡Ahora sentirás la ira de un verdadero demonio!"""
"At Fjerne, peregrino infernal",7,I,,Demonio,,Muerte,,0,,Damián Graff,"Exilia las primeras 3 cartas de tu infierno, Voltea At Fjerne / Exilia las primeras 3 cartas de tu infierno: At Fjerne obtiene +1 FUE hasta el final del turno","""Ahora que la tierra es mi hogar, la decorare a mi gusto"""
"Naamah, artífice del submundo",8,I,,Demonio,,Muerte,,1,,Alejandro Machado / Franco Riesco,"Exilia las primeras 5 cartas de tu mazo boca arriba, voltea Namaah / Tus enemigos pueden jugar las cartas exiliadas con Naamah como si estuvieran en su mano (cuando las cartas dejen la cadena son puestas en tu infierno)","""Tus niños podrán jugar con los desechos que encuentren en el submundo"""
"Zulfur, patriarca de los caídos",9,I,,Demonio,,Muerte,,0,,Germán Nóbile,"Cuando un aliado entra en juego bajo tu control desde un infierno, puedes voltear Zulfur. / Cuando Zulfur se volteado, pon el aliado objetivo de un infierno enemigo en juego bajo tu control","""No soy el creador, solo manipulo la realidad."""
"Arasunu, amo de las bestias",10,I,,Demonio,,Poder,,1,,Alberto Aprea,"Siempre que juegues un aliado, si este es el tercer aliado que jugaste este turno, voltea a Arasunu.","""En el número habita la fuerza"""
"Dämonin, la esclavizada",11,I,,Demonio,,Poder,,3,,Sandro Rybak,"Cuando controles 10 o mas recursos, voltea Dämonin.","""Corran malditos infieles. Pronto seré libre y adoro la cacería."""
"Zuztatek, guardián del bosque",12,I,,Demonio,,Poder,,0,,Paulo Barrios / Juan Martinez Pinilla,4: Voltea a Zuztatek / 4: Zuztatek obtiene +1 FUE hasta el final del turno,"""Este es mi dominio y no eres bienvenido"""
Buscador hoja ardiente,13,C,Aliado,,Humano,Caos,3,2,2,Nicolás Fernández,Vínculo 1: Destruye el arma objetivo,"""Fuego sagrado, guía mi hoja hacia nuestros enemigos."""
Cabo de entrenamiento,14,C,Aliado,,Humano,Caos,3,2,2,Roberto Viacava,"Cuando Cabo de entrenamiento entre en juego, pon en juego 1 ficha de aliado (caos) Kirch FUE 1 RES 1 con la habilidad de Furia","""Maltratos rabia y sangre. El trabajo soñado al que aspira todo niño de la arena."""
Cachorros kirch,15,C,Aliado,,Kirch,Caos,2,3,1,Edgard Machiavello,,
"Calé, ruina de Jama",16,R,Objeto,,,Caos,2,,,Emmanuel Bou,"Al Principio de tu restauración, tu demonio hace 2 puntos de daño al aliado objetivo.","""Las reliquias tenían el poder suficiente para abrir la puerta y vincular nuestro mundo con el pandemónium"""
Caminante de los silos,17,I,Aliado,,Humano,Caos,3,2,3,Nicolás Fernández,Vínculo 0: Tu demonio hace 1 punto de daño al demonio objetivo,"""Su voz me susurra sobre tiempos antiguos, donde el fuego era vida, y ella su dueña."""
Chispa infortunada,18,C,Ritual,Instantáneo,,Caos,1,,,Fabián Mayta Aguilar,Tu demonio hace 1 daño al aliado o demonio objetivo. Recobrar 1,"""Nota mental: no conjurar rituales desconocidos en la biblioteca"" -Bibliotecario de los silos"
Cimitarra de cristal,19,R,Arma,Único,,Caos,4,+2,+2,Santiago Calleriza,Siempre que una ficha de aliado entre en juego bajo tu control. Puedes equipar Cimitarra de Cristal a esa ficha.,"“El arma silva como una tormenta de arena en la noche."" -Fragmento del Imperio de la arena roja."
Cráneos de hierro fundido,20,I,Arma,,,Caos,2,+1,+1,Germán Nóbile,Destruir Cráneos de Hierro fundido: Tu demonio hace 1 punto de daño al aliado o demonio objetivo ,"""Los portadores de los cráneos suelen perder sus huellas dactilares a temprana edad"""
Hoja de la Ira,21,C,Arma,,,Caos,3,+3,,Emmanuel Bou,,
Hornos de hierro,22,E,Objeto,,,Caos,3,, ,Santiago Calleriza,"Siempre que un aliado reciba daño, Hornos de hierro hace esa misma cantidad de daño al controlador de ese aliado","""Las historias de quienes han muerto aquí, hieren a quienes las oyen"""
Incendiar,23,I,Ritual,,,Caos,1,,,Sara Villegas,Tu demonio hace 1 daño al aliado.,"""Fuego: causa y solución de cada problema Nungnarh"
Incitación de Ubanna,24,I,Ritual,Instantáneo,,Caos,3,,,Brian Miroglio,Tus aliados obtienen +1 FUE hasta el final del turno. Recobrar 5, 
Infantes de vanguardia,25,C,Aliado,,Humano,Caos,2,2,2,Juan Manuel Tumburus,Furia.,"""Enviar a los niños en batalla, puede sonar cruel... Sobre todo para los enemigos difuntos."""
Inyección sangrearena,26,C,Objeto,,,Caos,1, , ,Santiago Calleriza,Destruir Inyección sangrearena: Pon en juego una ficha de aliado (caos) Kirch FUE 1 RES 1 con la habilidad de Furia.,"""Sangre derramada en batalla, materia prima para la cirugía avanzada"""
Kirch berserker,27,C,Aliado,,Kirch,Caos,3,2,2,Fabián Mayta Aguilar,"Siempre que Kirch berserker ataque, obtiene +2 FUE hasta el final del turno.","""La versatilidad del luminium liquido, lo transforma sin duda en el mineral mas codiciado."""
